Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Users:getAllParentProjects,500,9685,15,42563,8893.76,3.800%,8.18800,31.98,1.54,3999.0
Users:getProjects,500,14429,20,49065,10886.90,5.200%,5.75242,1.51,0.93,268.4
Users:getAllProjects,500,18847,14,52244,11029.33,4.800%,4.41213,69.19,0.73,16058.4
Users:getAllUsers,500,19091,15,52129,9720.35,3.800%,3.98219,41.89,0.64,10770.5
Users:getAllUsers/1,1000,26045,374,75311,13279.07,7.600%,2.58128,68.68,0.45,27243.7
Users:addParentTask,500,20230,4887,53564,8673.10,3.000%,2.67543,0.37,0.63,139.8
Users:addProject,500,18977,342,46714,8056.35,1.800%,2.36193,0.30,0.68,129.7
Users:addUser,500,19262,3872,66302,8983.49,2.800%,1.90304,0.25,0.63,132.7
Users:addTask,500,23012,6853,67677,11041.42,5.400%,1.73179,0.24,0.77,140.8
Users:task,500,27531,7674,71407,14768.61,10.400%,1.58206,0.24,0.57,156.0
Users:getTasks,500,31286,7845,75118,15879.96,15.400%,1.47775,0.27,0.23,185.6
Users:getTasks/1,500,33231,8905,74750,13799.30,11.600%,1.51312,138.98,0.24,94054.1
Users:getProjects/1,500,31413,10955,73160,12883.26,11.200%,1.57632,0.43,0.26,279.4
Users:taskmanager,500,26875,7850,66396,12035.36,3.800%,1.55638,123.72,0.25,81399.8
Users:taskmanager/1,500,25052,6890,67885,12353.80,7.200%,1.49699,0.44,0.24,298.1
Users:put addProject/2,500,21143,6671,57072,10081.70,1.800%,1.52486,0.20,0.44,134.6
Users:put user/4,500,18589,2898,54785,8918.84,1.800%,1.62435,0.21,0.46,134.5
Users:put addTask/3,500,17967,2367,55100,7499.59,100.000%,1.72935,0.52,0.77,305.3
Users:put /task/5,500,14627,6,46175,6482.47,0.400%,2.02373,0.26,0.73,130.2
Users:del user/2,500,14994,1577,50495,6615.79,100.000%,2.31440,0.98,0.41,434.0
Users:deleteTask/3,500,13094,10,40178,6878.20,100.000%,2.57109,1.10,0.47,440.0
TOTAL,11000,21429,6,75311,12529.21,18.609%,21.46815,251.65,5.09,12003.6
